pws_id,Chemical,Years tested,Maximum Level (ppt)
10106001,NA,NA,0
61020808,NA,NA,0
90400109,NA,NA,0
AK2210906,PFHxS,2023,11
AK2210906,PFOA,2023,9.1
AK2210906,Total PFAS,2023,20
AK2320078,PFOS,2019-2022,99
AK2320078,PFOA,2019-2022,9.3
AK2320078,Total PFAS,2019-2022,108
AK2350023,PFHxS,2020,6.8
AK2350023,PFOS,2020,12
AK2350023,PFOA,2020,24
AK2350023,PFHpA,2020,14
AK2350023,PFNA,2020,6.8
AK2350023,Total PFAS,2020,64
AL0000013,PFBS,2023,73
AL0000013,PFBA,2023,13
AL0000013,PFHxA,2023,19
AL0000013,PFOS,2023,20
AL0000013,PFOA,2023,16
AL0000013,PFPeA,2023,32
AL0000013,PFHpA,2023,6.5
AL0000013,Total PFAS,2023,175
AL0000017,PFBS,2022,23
AL0000017,PFHxA,2022,6.8
AL0000017,PFOS,2022,8.2
AL0000017,PFOA,2022,6.7
AL0000017,PFHpA,2014-2022,20
AL0000017,Total PFAS,2014-2022,47
AL0000023,PFHxS,2020-2022,7.6
AL0000023,PFOS,2020-2022,9.2
AL0000023,Total PFAS,2020-2022,17
AL0000025,PFBS,2022-2023,5.1
AL0000025,PFBA,2023,7.4
AL0000025,PFHxS,2020-2023,5.6
AL0000025,PFHxA,2022-2023,4.4
AL0000025,PFOS,2020-2023,4.8
AL0000025,PFOA,2020-2023,4.9
AL0000025,PFPeA,2023,5
AL0000025,PFHpA,2022,3.3
AL0000025,Total PFAS,2020-2023,27
AL0000035,PFHxA,2021,3.1
AL0000035,PFOS,2021-2022,13
AL0000035,PFOA,2021-2022,4.2
AL0000035,PFHpA,2021,2.9
AL0000035,PFNA,2021,7.2
AL0000035,Total PFAS,2021-2022,17
AL0000036,PFBS,2022,2.6
AL0000036,PFHxS,2020-2022,3.5
AL0000036,PFHxA,2020-2022,2.8
AL0000036,PFOS,2020-2022,11
AL0000036,PFOA,2020-2022,2.9
AL0000036,Total PFAS,2020-2022,23
AL0000048,PFBS,2020,4
AL0000048,PFHxS,2020,20
AL0000048,PFHxA,2020,3.8
AL0000048,PFOS,2020,32
AL0000048,PFOA,2020,3.8
AL0000048,Total PFAS,2020,64
AL0000162,PFHxS,2022,2.5
AL0000162,PFOS,2022,6.1
AL0000162,Total PFAS,2022,8.6
AL0000168,PFBS,2020-2022,3.8
AL0000168,PFHxS,2020-2022,14
AL0000168,PFHxA,2022,2
AL0000168,PFOS,2020-2022,15
AL0000168,PFOA,2020-2022,4.4
AL0000168,Total PFAS,2020-2022,31
AL0000180,PFBA,2023,7.7
AL0000180,PFHxA,2023,4.9
AL0000180,PFOS,2023,4.2
AL0000180,PFOA,2023,7.7
AL0000180,PFPeA,2023,3
AL0000180,Total PFAS,2023,28
AL0000181,PFHxS,2020-2022,3.6
AL0000181,PFHxA,2020-2022,6.9
AL0000181,PFOS,2020-2022,24
AL0000181,PFOA,2020-2022,11
AL0000181,PFHpA,2020-2022,2.4
AL0000181,N-EtFOSAA,2022,1.1
AL0000181,Total PFAS,2020-2022,48
AL0000184,PFBS,2020-2022,8.2
AL0000184,PFHxS,2020-2022,2.3
AL0000184,PFHxA,2020-2022,6.9
AL0000184,PFOS,2020-2022,4.2
AL0000184,PFOA,2020-2022,3.4
AL0000184,PFHpA,2020-2022,2.2
AL0000184,Total PFAS,2020-2022,27
AL0000188,PFBS,2020-2022,210
AL0000188,PFHxS,2020-2021,14
AL0000188,PFHxA,2020-2022,47
AL0000188,PFOS,2020-2021,73
AL0000188,PFOA,2020-2021,41
AL0000188,PFHpA,2020-2021,16
AL0000188,PFNA,2020-2021,3.7
AL0000188,PFDA,2020-2021,3.1
AL0000188,Total PFAS,2020-2022,394
AL0000213,PFBS,2021-2022,68
AL0000213,PFHxS,2022,2.8
AL0000213,PFHxA,2021-2022,19
AL0000213,PFOS,2021-2022,24
AL0000213,PFOA,2014-2022,20
AL0000213,PFHpA,2014-2022,10
AL0000213,Total PFAS,2014-2022,140
AL0000255,PFBS,2020-2022,5.3
AL0000255,PFHxS,2020-2022,9.9
AL0000255,PFHxA,2020-2022,6.5
AL0000255,PFOS,2020-2022,13
AL0000255,PFOA,2022,4.7
AL0000255,PFHpA,2022,3.9
AL0000255,Total PFAS,2020-2022,42
AL0000256,PFOS,2020-2022,14
AL0000256,PFOA,2020,7.5
AL0000256,Total PFAS,2020-2022,21
AL0000262,PFBS,2020-2023,41
AL0000262,PFBA,2023,6.6
AL0000262,PFHxS,2022,2.3
AL0000262,PFHxA,2020-2023,12
AL0000262,PFOS,2020-2023,14
AL0000262,PFOA,2020-2023,11
AL0000262,PFPeA,2023,13
AL0000262,PFHpA,2022-2023,4.3
AL0000262,Total PFAS,2020-2023,95
AL0000311,PFBS,2020-2022,4.5
AL0000311,PFHxS,2022,2.3
AL0000311,PFHxA,2022,5.4
AL0000311,PFOS,2020-2022,18
AL0000311,PFOA,2020-2022,8.8
AL0000311,PFHpA,2022,2.3
AL0000311,Total PFAS,2020-2022,41
AL0000314,PFBS,2022-2023,8.5
AL0000314,PFBA,2023,38
AL0000314,PFHxS,2022-2023,3.3
AL0000314,PFHxA,2022-2023,12
AL0000314,PFOS,2014-2023,50
AL0000314,PFOA,2014-2023,60
AL0000314,PFPeA,2023,4.4
AL0000314,PFHpA,2022,4
AL0000314,Total PFAS,2014-2023,84
AL0000316,PFBS,2022,8.8
AL0000316,PFHxS,2022,3.5
AL0000316,PFHxA,2022,22
AL0000316,PFOS,2022,11
AL0000316,PFOA,2022,11
AL0000316,PFHpA,2022,3.5
AL0000316,Total PFAS,2022,60
AL0000321,PFBS,2022,5.1
AL0000321,PFHxS,2022,2.4
AL0000321,PFHxA,2022,4.5
AL0000321,PFOS,2022,22
AL0000321,PFOA,2022,13
AL0000321,PFHpA,2022,3
AL0000321,Total PFAS,2022,49
AL0000327,PFBS,2022,5.7
AL0000327,PFHxS,2022,3.9
AL0000327,PFHxA,2022,4.8
AL0000327,PFOS,2022,28
AL0000327,PFOA,2022,16
AL0000327,PFHpA,2022,4.9
AL0000327,Total PFAS,2022,63
AL0000331,PFBS,2022,5.2
AL0000331,PFHxS,2022,2.7
AL0000331,PFHxA,2022,2.9
AL0000331,PFOS,2022,6
AL0000331,PFOA,2022,3.6
AL0000331,Total PFAS,2022,20
AL0000339,PFOS,2020,6.6
AL0000339,Total PFAS,2020,6.6
AL0000366,PFBS,2020-2022,37
AL0000366,PFHxS,2020-2022,2.6
AL0000366,PFHxA,2020-2022,30
AL0000366,PFOS,2020-2022,20
AL0000366,PFOA,2020-2022,11
AL0000366,PFHpA,2020-2022,21
AL0000366,HFPO-DA,2020,3.9
AL0000366,Total PFAS,2020-2022,111
AL0000413,PFOS,2014,180
AL0000413,PFOA,2014,90
AL0000413,PFHpA,2014,20
AL0000413,Total PFAS,2014,290
AL0000502,PFBS,2022,2.3
AL0000502,PFHxA,2020-2022,22
AL0000502,PFOS,2020-2022,4.1
AL0000502,PFOA,2022,4.1
AL0000502,PFHpA,2022,2.7
AL0000502,Total PFAS,2020-2022,27
AL0000533,PFBA,2023,6.8
AL0000533,PFOS,2023,5
AL0000533,Total PFAS,2023,6.8
AL0000537,PFOS,2023,4.5
AL0000537,Total PFAS,2023,4.5
AL0000540,PFBS,2023,56
AL0000540,PFBA,2023,9.3
AL0000540,PFHxA,2023,15
AL0000540,PFOS,2023,18
AL0000540,PFOA,2023,14
AL0000540,PFPeA,2023,23
AL0000540,PFHpA,2023,5.4
AL0000540,Total PFAS,2023,138
AL0000553,PFBS,2020-2022,2.8
AL0000553,PFHxS,2020-2022,23
AL0000553,PFHxA,2020,2.5
AL0000553,PFOS,2020-2022,16
AL0000553,Total PFAS,2020-2022,44
AL0000577,PFBS,2020-2023,720
AL0000577,PFBA,2023,17
AL0000577,PFHxS,2020-2022,8.2
AL0000577,PFHxA,2020-2023,49
AL0000577,PFOS,2014-2023,50
AL0000577,PFOA,2014-2023,40
AL0000577,PFPeA,2023,50
AL0000577,PFHpA,2014-2023,30
AL0000577,PFNA,2020-2022,6.5
AL0000577,PFDA,2020-2022,6.8
AL0000577,PFDoA,2020,21
AL0000577,PFTA,2020,13
AL0000577,PFTrDA,2020,15
AL0000577,PFUnA,2020,6
AL0000577,Total PFAS,2014-2023,792
AL0000588,PFBS,2013,100
AL0000588,PFOS,2013,60
AL0000588,PFOA,2013-2014,40
AL0000588,PFHpA,2013,20
AL0000588,Total PFAS,2013-2014,210
AL0000591,PFOS,2013,50
AL0000591,PFOA,2013,40
AL0000591,PFHpA,2013,20
AL0000591,Total PFAS,2013,90
AL0000732,PFHxA,2022,2.7
AL0000732,PFOS,2020-2022,5.1
AL0000732,PFOA,2022,4
AL0000732,Total PFAS,2020-2022,11
AL0000738,PFBS,2019-2022,5.1
AL0000738,PFHxA,2019-2022,5.4
AL0000738,PFOS,2019-2022,4.4
AL0000738,PFOA,2019-2022,3.4
AL0000738,PFHpA,2022,2.2
AL0000738,Total PFAS,2019-2022,18
AL0000751,PFBS,2021-2023,3.5
AL0000751,PFHxS,2020-2023,8.3
AL0000751,PFHxA,2021-2023,5.1
AL0000751,PFOS,2020-2023,59
AL0000751,PFOA,2020-2023,5.1
AL0000751,PFPeA,2023,8.1
AL0000751,PFHpA,2021-2022,2.4
AL0000751,Total PFAS,2020-2023,89
AL0000753,PFBS,2022,1.9
AL0000753,PFHxS,2022,1.1
AL0000753,PFOS,2022,8.8
AL0000753,PFOA,2022,8.1
AL0000753,Total PFAS,2022,13
AL0000761,PFBS,2020-2022,2.8
AL0000761,PFHxS,2020-2022,11
AL0000761,PFHxA,2022,3.1
AL0000761,PFOS,2020-2022,13
AL0000761,PFOA,2022,1.8
AL0000761,Total PFAS,2020-2022,31
AL0000763,PFBS,2022,2.9
AL0000763,PFHxA,2022,2.4
AL0000763,PFOS,2022,4.2
AL0000763,PFOA,2022,2
AL0000763,Total PFAS,2022,12
AL0000783,PFBS,2021-2023,5.1
AL0000783,PFBA,2023,9.7
AL0000783,PFHxS,2021-2022,3.1
AL0000783,PFHxA,2021-2023,4.9
AL0000783,PFOS,2013-2023,60
AL0000783,PFOA,2014-2023,20
AL0000783,PFHpA,2021-2022,5
AL0000783,Total PFAS,2013-2023,60
AL0000789,PFBS,2020-2022,22
AL0000789,PFHxS,2020-2022,7
AL0000789,PFHxA,2020-2022,17
AL0000789,PFOS,2020-2022,12
AL0000789,PFOA,2020-2022,11
AL0000789,PFHpA,2020-2022,7
AL0000789,Total PFAS,2020-2022,75
AL0000798,PFBS,2020-2022,4.2
AL0000798,PFOS,2020-2022,5.5
AL0000798,PFOA,2022,2.4
AL0000798,Total PFAS,2020-2022,10
AL0000801,PFOS,2015,90
AL0000801,PFOA,2015,50
AL0000801,PFHpA,2015,10
AL0000801,Total PFAS,2015,150
AL0000804,PFBS,2020-2022,3.7
AL0000804,PFHxS,2020-2022,3.2
AL0000804,PFHxA,2020-2022,3.9
AL0000804,PFOS,2020-2022,4
AL0000804,PFOA,2020-2022,13
AL0000804,PFHpA,2020-2022,4.5
AL0000804,Total PFAS,2020-2022,32
AL0000814,PFBS,2020-2022,3.3
AL0000814,PFHxS,2020-2022,2.9
AL0000814,PFHxA,2020-2022,4.5
AL0000814,PFOS,2020-2022,2.5
AL0000814,PFOA,2020-2022,11
AL0000814,PFHpA,2020-2022,4.8
AL0000814,Total PFAS,2020-2022,29
AL0000816,PFBS,2022,3.4
AL0000816,PFHxS,2022,1.9
AL0000816,PFHxA,2022-2023,5.4
AL0000816,PFOS,2022-2023,7.2
AL0000816,PFOA,2022-2023,11
AL0000816,PFPeA,2023,4.6
AL0000816,PFHpA,2022,3.4
AL0000816,Total PFAS,2022-2023,27
AL0000820,PFBS,2022,6.6
AL0000820,PFHxA,2022,5.2
AL0000820,PFOS,2022,5.2
AL0000820,PFOA,2022,3.7
AL0000820,Total PFAS,2022,19
AL0000831,PFBS,2020-2022,5.3
AL0000831,PFHxS,2022,3.4
AL0000831,PFHxA,2022,3.5
AL0000831,PFOS,2020-2022,12
AL0000831,PFOA,2020-2022,5.4
AL0000831,Total PFAS,2020-2022,29
AL0000833,PFBS,2022,8.8
AL0000833,PFHxS,2022,6.1
AL0000833,PFHxA,2022,7.3
AL0000833,PFOS,2022,10
AL0000833,PFOA,2022,8.7
AL0000833,Total PFAS,2022,41
AL0000865,PFHxA,2022,2.2
AL0000865,PFOS,2022,3.4
AL0000865,PFOA,2020-2022,4.1
AL0000865,Total PFAS,2020-2022,9.1
AL0000870,PFBS,2022,1.9
AL0000870,PFHxA,2022,4.1
AL0000870,PFOS,2022,3.2
AL0000870,PFOA,2022,8.1
AL0000870,PFHpA,2022,3.2
AL0000870,Total PFAS,2022,18
AL0000878,PFBS,2020-2022,4.5
AL0000878,PFHxS,2022,2.6
AL0000878,PFHxA,2022,3.5
AL0000878,PFOS,2020-2022,5.4
AL0000878,PFOA,2022,4.2
AL0000878,Total PFAS,2020-2022,20
AL0000882,PFBS,2020-2023,6.2
AL0000882,PFBA,2023,11
AL0000882,PFHxS,2021-2022,2.9
AL0000882,PFHxA,2020-2023,5.2
AL0000882,PFOS,2021-2023,9
AL0000882,PFOA,2021-2023,4.7
AL0000882,PFPeA,2023,5.3
AL0000882,Total PFAS,2020-2023,32
AL0000924,PFBS,2022,1.9
AL0000924,PFHxS,2020-2022,24
AL0000924,PFHxA,2022,2.4
AL0000924,PFOS,2020-2022,73
AL0000924,PFOA,2020-2022,4.9
AL0000924,Total PFAS,2020-2022,97
AL0000927,PFOS,2020,5
AL0000927,Total PFAS,2020,5
AL0000933,PFBS,2022,2.8
AL0000933,PFHxA,2022,55
AL0000933,PFOS,2022,6.6
AL0000933,PFOA,2015-2022,20
AL0000933,PFHpA,2014-2022,20
AL0000933,PFNA,2022,2.1
AL0000933,Total PFAS,2014-2022,68
AL0000935,PFBS,2023,6.2
AL0000935,PFBA,2023,9.7
AL0000935,PFHxA,2023,4.4
AL0000935,PFOS,2023,5.8
AL0000935,PFOA,2023,9.1
AL0000935,PFPeA,2023,4.1
AL0000935,PFHpA,2023,4.7
AL0000935,Total PFAS,2023,27
AL0000936,PFOA,2015,20
AL0000936,PFHpA,2015,10
AL0000936,Total PFAS,2015,30
AL0000983,PFOS,2020-2022,23
AL0000983,PFOA,2020-2022,26
AL0000983,PFHpA,2020-2022,6.7
AL0000983,Total PFAS,2020-2022,56
AL0001006,PFBS,2020-2022,4.3
AL0001006,PFHxS,2022,6.3
AL0001006,PFOS,2020-2022,6.3
AL0001006,PFOA,2022,2.8
AL0001006,Total PFAS,2020-2022,18
AL0001021,PFBS,2022,7.1
AL0001021,PFHxS,2022,32
AL0001021,PFHxA,2022,64
AL0001021,PFOS,2022,42
AL0001021,PFOA,2022,24
AL0001021,PFHpA,2022,32
AL0001021,PFNA,2022,23
AL0001021,Total PFAS,2022,224
AL0001022,PFBS,2020,4.5
AL0001022,PFHxS,2020,8.1
AL0001022,PFHxA,2020,29
AL0001022,PFOS,2020-2022,23
AL0001022,PFOA,2020,15
AL0001022,PFHpA,2020,13
AL0001022,PFDA,2020,18
AL0001022,PFTrDA,2020,5.6
AL0001022,9Cl-PF3ONS,2020,4.3
AL0001022,HFPO-DA,2020,4.4
AL0001022,N-EtFOSAA,2020,22
AL0001022,NMeFOSAA,2020,9.9
AL0001022,Total PFAS,2020-2022,157
AL0001037,PFHxS,2020-2022,10
AL0001037,PFHxA,2022,5.3
AL0001037,PFOS,2020-2022,28
AL0001037,PFOA,2022,2.6
AL0001037,PFHpA,2022,3.1
AL0001037,Total PFAS,2020-2022,46
AL0001047,PFBS,2020-2022,3.9
AL0001047,PFHxS,2020-2022,6.6
AL0001047,PFHxA,2022,3.9
AL0001047,PFOS,2020-2022,21
AL0001047,PFOA,2020-2022,4.2
AL0001047,PFHpA,2022,2.6
AL0001047,Total PFAS,2020-2022,42
AL0001084,PFBS,2022-2023,3.9
AL0001084,PFBA,2023,13
AL0001084,PFHxA,2022,3.3
AL0001084,PFOS,2022,8.3
AL0001084,PFOA,2022,9.3
AL0001084,PFHpA,2022,3.3
AL0001084,Total PFAS,2022-2023,28
AL0001092,PFBS,2013-2019,22
AL0001092,PFHxS,2013-2019,11
AL0001092,PFHxA,2013-2019,22
AL0001092,PFOS,2013-2020,130
AL0001092,PFOA,2013-2020,100
AL0001092,PFHpA,2014-2019,30
AL0001092,Total PFAS,2013-2020,260
AL0001131,PFBS,2020-2022,2.7
AL0001131,PFHxA,2022,1.4
AL0001131,PFOS,2020-2022,6.6
AL0001131,PFOA,2020-2022,3
AL0001131,Total PFAS,2020-2022,9.6
AL0001142,PFBS,2022,5.7
AL0001142,PFHxS,2022,2.2
AL0001142,PFHxA,2022,7.2
AL0001142,PFOS,2022,9
AL0001142,PFOA,2022,6.3
AL0001142,PFHpA,2022,2.7
AL0001142,Total PFAS,2022,33
AL0001145,PFBS,2023,3.8
AL0001145,PFBA,2023,6.9
AL0001145,PFHxA,2023,5.2
AL0001145,PFOS,2023,5.3
AL0001145,PFOA,2023,4.6
AL0001145,PFPeA,2023,6.2
AL0001145,Total PFAS,2023,32
AL0001148,PFBS,2022,3.9
AL0001148,PFHxS,2022,2.9
AL0001148,PFOS,2022,6.9
AL0001148,PFOA,2022,2.1
AL0001148,Total PFAS,2022,15
AL0001160,PFBS,2022,2.5
AL0001160,PFHxS,2020-2022,7.5
AL0001160,PFHxA,2022,2.7
AL0001160,PFOS,2020-2022,13
AL0001160,PFOA,2022,2.9
AL0001160,PFHpA,2022,1.1
AL0001160,PFNA,2022,0
AL0001160,PFDA,2022,0
AL0001160,PFTA,2022,0
AL0001160,PFTrDA,2022,0
AL0001160,N-EtFOSAA,2022,71
AL0001160,NMeFOSAA,2022,109
AL0001160,Total PFAS,2020-2022,207
AL0001171,PFBS,2022,1.7
AL0001171,PFHxS,2020-2022,5.8
AL0001171,PFHxA,2022,1.2
AL0001171,PFOS,2020-2022,8.2
AL0001171,PFOA,2022,1.4
AL0001171,N-EtFOSAA,2022,0.8
AL0001171,Total PFAS,2020-2022,18
AL0001228,PFBS,2020-2022,2.8
AL0001228,PFHxS,2020-2022,6.9
AL0001228,PFHxA,2020-2022,6.5
AL0001228,PFOS,2020-2022,13
AL0001228,PFOA,2020-2022,2.2
AL0001228,PFHpA,2020-2022,5.1
AL0001228,Total PFAS,2020-2022,32
AL0001245,PFOS,2020-2022,4.1
AL0001245,Total PFAS,2020-2022,4.1
AL0001258,PFBS,2022,2.9
AL0001258,PFHxS,2022,2.3
AL0001258,PFHxA,2022,2.1
AL0001258,PFOS,2022,11
AL0001258,PFOA,2022,3.4
AL0001258,Total PFAS,2022,22
AL0001260,PFBS,2022,0.9
AL0001260,PFHxS,2022,2.8
AL0001260,PFHxA,2022,1.8
AL0001260,PFOS,2020-2022,4.1
AL0001260,PFOA,2022,1.3
AL0001260,Total PFAS,2020-2022,11
AL0001261,PFBS,2022,56
AL0001261,PFHxS,2022,2.2
AL0001261,PFHxA,2022,17
AL0001261,PFOS,2022,19
AL0001261,PFOA,2022,12
AL0001261,PFHpA,2022,5.3
AL0001261,Total PFAS,2022,100
AL0001368,PFOS,2020,5.3
AL0001368,Total PFAS,2020,5.3
AL0001378,PFBS,2022,1.2
AL0001378,PFHxS,2022,1.1
AL0001378,PFOS,2020-2022,4.3
AL0001378,PFOA,2022,1.2
AL0001378,Total PFAS,2020-2022,7.8
AL0001393,PFBS,2020-2022,45
AL0001393,PFHxA,2020-2022,12
AL0001393,PFOS,2020-2022,18
AL0001393,PFOA,2020-2022,11
AL0001393,PFHpA,2020-2022,3.9
AL0001393,Total PFAS,2020-2022,90
AL0001403,PFOS,2020,4.9
AL0001403,Total PFAS,2020,4.9
AL0001420,PFBS,2022,5.9
AL0001420,PFHxS,2022,5.3
AL0001420,PFHxA,2022,5.9
AL0001420,PFOS,2020-2022,12
AL0001420,PFOA,2020-2022,7.4
AL0001420,PFHpA,2022,4.7
AL0001420,PFNA,2022,3.9
AL0001420,PFDA,2022,3.6
AL0001420,PFDoA,2022,2.9
AL0001420,PFTrDA,2022,2.3
AL0001420,PFUnA,2022,3.2
AL0001420,9Cl-PF3ONS,2022,2.6
AL0001420,11Cl-PF3OUdS,2022,2.4
AL0001420,ADONA,2022,3.4
AL0001420,HFPO-DA,2022,2.9
AL0001420,N-EtFOSAA,2022,2.4
AL0001420,NMeFOSAA,2022,3
AL0001420,Total PFAS,2020-2022,73
AL0001422,PFBS,2015-2022,150
AL0001422,PFHxA,2022,2.2
AL0001422,PFOS,2014-2015,70
AL0001422,PFOA,2014-2015,40
AL0001422,PFHpA,2014-2015,20
AL0001422,Total PFAS,2014-2022,280
AL0001439,PFBS,2023,33
AL0001439,PFBA,2023,6.2
AL0001439,PFHxA,2023,8.6
AL0001439,PFOS,2023,12
AL0001439,PFOA,2023,7.3
AL0001439,PFPeA,2023,12
AL0001439,PFHpA,2023,3
AL0001439,Total PFAS,2023,76
AL0001671,PFBS,2022,56
AL0001671,PFHxA,2022,14
AL0001671,PFOS,2022,18
AL0001671,PFOA,2022,12
AL0001671,PFHpA,2014-2022,10
AL0001671,Total PFAS,2014-2022,92
AL0001780,PFBS,2020-2022,65
AL0001780,PFHxS,2020-2022,3
AL0001780,PFHxA,2020-2022,24
AL0001780,PFOS,2020-2022,23
AL0001780,PFOA,2020-2022,19
AL0001780,PFHpA,2020-2022,9.6
AL0001780,PFNA,2020,2
AL0001780,PFDA,2020,2.5
AL0001780,Total PFAS,2020-2022,132
AL0001805,PFBS,2020-2022,59
AL0001805,PFHxS,2022,5
AL0001805,PFHxA,2020,20
AL0001805,PFOS,2020-2022,21
AL0001805,PFOA,2020-2022,13
AL0001805,PFHpA,2020,4.8
AL0001805,PFUnA,2020,91
AL0001805,Total PFAS,2020-2022,182
AS9711948,PFBS,2023,3.2
AS9711948,PFOS,2015,40
AS9711948,Total PFAS,2015-2023,40
AZ0403003,PFBS,2023,30
AZ0403003,PFBA,2023,6
AZ0403003,PFHxS,2023,7
AZ0403003,PFHxA,2023,10
AZ0403003,PFOS,2023,6
AZ0403003,PFOA,2023,10
AZ0403003,PFPeA,2023,10
AZ0403003,PFHpA,2023,7
AZ0403003,Total PFAS,2023,86
AZ0404008,PFBS,2023,108
AZ0404008,PFBA,2023,8.5
AZ0404008,PFHxS,2023,20
AZ0404008,PFOS,2023,9.5
AZ0404008,Total PFAS,2023,146
AZ0404032,PFBS,2023,55
AZ0404032,PFBA,2023,32
AZ0404032,PFHxS,2023,23
AZ0404032,PFHxA,2023,33
AZ0404032,PFOS,2023,42
AZ0404032,PFOA,2014-2023,48
AZ0404032,PFPeA,2023,48
AZ0404032,PFHpA,2023,13
AZ0404032,PFDA,2023,3.5
AZ0404032,Total PFAS,2014-2023,274
AZ0407046,PFBS,2023,8.4
AZ0407046,PFBA,2023,20
AZ0407046,PFHxS,2014-2023,110
AZ0407046,PFHxA,2023,23
AZ0407046,PFOS,2014-2023,220
AZ0407046,PFOA,2014-2023,50
AZ0407046,PFPeA,2023,55
AZ0407046,PFHpA,2014-2023,30
AZ0407046,Total PFAS,2014-2023,410
AZ0407094,PFBS,2023,13
AZ0407094,PFHxS,2023,5
AZ0407094,PFOS,2023,7
AZ0407094,PFOA,2023,4
AZ0407094,PFPeA,2023,3
AZ0407094,PFNA,2023,4
AZ0407094,Total PFAS,2023,23
AZ0407100,PFBS,2023,17
AZ0407100,PFHxS,2013-2014,95
AZ0407100,PFOS,2013-2014,150
AZ0407100,PFOA,2013-2014,50
AZ0407100,PFHpA,2013-2014,13
AZ0407100,Total PFAS,2013-2023,290
AZ0407406,PFOS,2023,6.5
AZ0407406,Total PFAS,2023,6.5
AZ0408001,PFHxS,2014,730
AZ0408001,PFOS,2014,300
AZ0408001,PFOA,2014,32
AZ0408001,PFHpA,2014,15
AZ0408001,Total PFAS,2014,"1,074"
AZ0410051,PFBS,2023,4
AZ0410051,PFHxS,2023,9
AZ0410051,PFHxA,2023,3
AZ0410051,PFOS,2023,6
AZ0410051,PFOA,2023,5
AZ0410051,PFPeA,2023,4
AZ0410051,Total PFAS,2023,31
AZ0410076,PFOS,2014-2015,53
AZ0410076,Total PFAS,2014-2015,53
AZ0412011,PFBS,2023,20
AZ0412011,PFBA,2023,7
AZ0412011,PFHxS,2023,11
AZ0412011,PFHxA,2023,4
AZ0412011,PFOS,2023,41
AZ0412011,PFOA,2023,10
AZ0412011,PFPeA,2023,3
AZ0412011,Total PFAS,2023,81
AZ0413012,PFBS,2023,28
AZ0413012,PFHxS,2023,3.3
AZ0413012,PFHxA,2023,4.5
AZ0413012,PFOS,2023,4.1
AZ0413012,PFOA,2023,21
AZ0413012,PFPeA,2023,4.6
AZ0413012,PFHpA,2023,4
AZ0413012,Total PFAS,2023,64
AZ0413045,PFBS,2023,7.5
AZ0413045,PFHxS,2023,6.5
AZ0413045,PFHxA,2023,13
AZ0413045,PFOS,2023,8.7
AZ0413045,PFOA,2023,11
AZ0413045,PFPeA,2023,15
AZ0413045,PFHpA,2023,3.6
AZ0413045,Total PFAS,2023,65
CA0105020,PFBS,2019-2023,4.9
CA0105020,PFBA,2023,2
CA0105020,PFHxS,2019-2023,12
CA0105020,PFHxA,2021-2022,2.4
CA0105020,PFOS,2019-2023,10
CA0105020,PFOA,2021-2023,3.9
CA0105020,PFPeS,2023,2.1
CA0105020,Total PFAS,2019-2023,33
CA0110001,PFBS,2020-2023,3.2
CA0110001,PFBA,2022-2023,4.2
CA0110001,PFHxS,2020-2023,4.1
CA0110001,PFHxA,2020-2022,2.4
CA0110001,PFOS,2020-2023,6.4
CA0110001,PFOA,2020-2021,2.5
CA0110001,Total PFAS,2020-2023,28
CA0110003,PFBS,2020-2023,6.4
CA0110003,PFBA,2023,3.4
CA0110003,PFHxS,2019-2023,15
CA0110003,PFHxA,2020-2023,5.8
CA0110003,PFOS,2019-2023,24
CA0110003,PFOA,2019-2023,8.5
CA0110003,PFPeA,2023,5.7
CA0110003,PFHpA,2019-2023,3.7
CA0110003,PFPeS,2023,2.1
CA0110003,Total PFAS,2019-2023,75
CA0110008,PFBS,2019-2023,13
CA0110008,PFBA,2023,4.1
CA0110008,PFHxS,2013-2023,79
CA0110008,PFHxA,2019-2023,20
CA0110008,PFOS,2019-2023,120
CA0110008,PFOA,2019-2023,9.2
CA0110008,PFPeA,2023,3.7
CA0110008,PFHpA,2019-2023,13
CA0110008,PFNA,2019-2022,5.7
CA0110008,ADONA,2019,2.1
CA0110008,PFPeS,2023,4.6
CA0110008,Total PFAS,2013-2023,259
CA0110010,PFBS,2018-2023,26
CA0110010,PFHxS,2018-2023,100
CA0110010,PFHxA,2018-2022,25
CA0110010,PFOS,2018-2023,210
CA0110010,PFOA,2018-2022,18
CA0110010,PFHpA,2018-2022,8.5
CA0110010,Total PFAS,2018-2023,388
CA0400151,PFBS,2019-2023,2.7
CA0400151,PFHxS,2019-2023,3.6
CA0400151,PFHxA,2019-2023,4.6
CA0400151,PFOS,2019-2023,3.8
CA0400151,PFOA,2019-2023,5
CA0400151,PFHpA,2019-2023,2.6
CA0400151,Total PFAS,2019-2023,21
CA0400154,PFBS,2019-2021,3.3
CA0400154,PFHxS,2019-2023,14
CA0400154,PFOS,2019-2023,21
CA0400154,Total PFAS,2019-2023,37
CA0410002,PFBS,2019-2023,6.6
CA0410002,PFBA,2023,2.4
CA0410002,PFHxS,2013-2023,42
CA0410002,PFHxA,2019-2023,4.5
CA0410002,PFOS,2013-2023,84
CA0410002,PFOA,2019-2023,7.8
CA0410002,PFPeA,2023,4.8
CA0410002,PFHpA,2019-2023,2.7
CA0410002,PFPeS,2023,2.1
CA0410002,Total PFAS,2013-2023,118
CA0410005,PFBS,2019-2023,20
CA0410005,PFHxS,2019-2023,58
