tmp,ewg_id,PFA,Location detected,Maximum Level (ppt)Years tested,Years tested,Maximum Level (ppt)*
,198,PFHpA,GroundwaterOn-base,"80,0002018",NA,NA
,198,PFHxA,GroundwaterOn-base,"9,8002018",NA,NA
,198,PFOA,GroundwaterOn-base,"80,0002018",NA,NA
,198,PFOS,GroundwaterOn-base,"37,0002018",NA,NA
,198,PFOS+PFOA,GroundwaterOn-base,"80,7702018",NA,NA
,215,PFBS,GroundwaterOn-base,9702018,NA,NA
,215,PFOA,GroundwaterOn-base,"2,8002018",NA,NA
,215,PFOS,GroundwaterOn-base,"25,0002018",NA,NA
,215,PFOS+PFOA,GroundwaterOn-base,"27,0002018",NA,NA
,244,PFBS,GroundwaterOn-base,"1,9202018",NA,NA
,244,PFHpA,GroundwaterOn-base,"1,5902018",NA,NA
,244,PFHxS,GroundwaterOn-base,"13,9002018",NA,NA
,244,PFNA,GroundwaterOn-base,972018,NA,NA
,244,PFOA,GroundwaterOn-base,"1,6202018",NA,NA
,244,PFOS,GroundwaterOn-base,"13,1002018",NA,NA
,244,PFOS+PFOA,GroundwaterOn-base,"13,4732018",NA,NA
,245,PFBS,GroundwaterOn-base,5802017,NA,NA
,245,PFHpA,GroundwaterOn-base,902017,NA,NA
,245,PFHxA,GroundwaterOn-base,"1,0002017",NA,NA
,245,PFHxS,GroundwaterOn-base,"11,0002017",NA,NA
,245,PFOA,GroundwaterOn-base,1302017,NA,NA
,245,PFOS,GroundwaterOn-base,642017,NA,NA
,245,PFOS+PFOA,GroundwaterOn-base,1942017,NA,NA
,246,PFOA,GroundwaterOn-base,172016,NA,NA
,246,PFOS,GroundwaterOn-base,1302016,NA,NA
,246,PFOS+PFOA,GroundwaterOn-base,1392016,NA,NA
,247,PFBS,GroundwaterOn-base,"23,0000",NA,NA
,247,PFOA,GroundwaterOn-base,"57,0000",NA,NA
,247,PFOS,GroundwaterOn-base,"41,0000",NA,NA
,247,PFOS+PFOA,GroundwaterOn-base,"98,0000",NA,NA
,248,PFBS,GroundwaterOn-base,3.82018,NA,NA
,248,PFOA,GroundwaterOn-base,392018,NA,NA
,248,PFOS,GroundwaterOn-base,3.32018,NA,NA
,248,PFOS+PFOA,GroundwaterOn-base,392018,NA,NA
,249,PFBS,GroundwaterOn-base,102017,NA,NA
,249,PFOA,GroundwaterOn-base,152017,NA,NA
,249,PFOS,GroundwaterOn-base,292017,NA,NA
,249,PFOS+PFOA,GroundwaterOn-base,352017,NA,NA
,250,6:2 FTS,GroundwaterOn-base,"6,7002018",NA,NA
,250,8:2 FTS,GroundwaterOn-base,982018,NA,NA
,250,PFBS,GroundwaterOn-base,1902018,NA,NA
,250,PFHpA,GroundwaterOn-base,2902018,NA,NA
,250,PFHxA,GroundwaterOn-base,"2,0002018",NA,NA
,250,PFNA,GroundwaterOn-base,4302018,NA,NA
,250,PFOA,GroundwaterOn-base,"15,0002018",NA,NA
,250,PFOS,GroundwaterOn-base,"67,0002018",NA,NA
,250,PFOS+PFOA,GroundwaterOn-base,"82,0002018",NA,NA
,250,PFPeA,GroundwaterOn-base,7602018,NA,NA
,251,6:2 FTS,GroundwaterOn-base,"2,0502019",NA,NA
,251,8:2 FTS,GroundwaterOn-base,2272019,NA,NA
,251,NEtFOSAA,GroundwaterOn-base,332019,NA,NA
,251,NMeFOSAA,GroundwaterOn-base,332019,NA,NA
,251,PFBS,GroundwaterOn-base,"2,5902019",NA,NA
,251,PFDoA,GroundwaterOn-base,122019,NA,NA
,251,PFHxA,GroundwaterOn-base,"23,3002019",NA,NA
,251,PFHxS,GroundwaterOn-base,"24,1002019",NA,NA
,251,PFNA,GroundwaterOn-base,3942019,NA,NA
,251,PFOA,GroundwaterOn-base,"16,0002019",NA,NA
,251,PFOS,GroundwaterOn-base,"159,0002019",NA,NA
,251,PFOS+PFOA,GroundwaterOn-base,"175,0002019",NA,NA
,251,PFUnA,GroundwaterOn-base,5802019,NA,NA
,252,PFOS+PFOA,GroundwaterOn-base,"22,7002018",NA,NA
,252,PFOS,GroundwaterOn-base,"21,0002018",NA,NA
,252,PFOA,GroundwaterOn-base,"1,7002018",NA,NA
,252,PFHxS,GroundwaterOn-base,"1,3002018",NA,NA
,252,8:2 FTS,GroundwaterOn-base,"1,1002018",NA,NA
,252,PFHxA,GroundwaterOn-base,"1,1002018",NA,NA
,252,PFHpA,GroundwaterOn-base,8902018,NA,NA
,252,6:2 FTS,GroundwaterOn-base,6002018,NA,NA
,252,PFBS,GroundwaterOn-base,2402018,NA,NA
,252,PFNA,GroundwaterOn-base,1802018,NA,NA
,252,PFDA,GroundwaterOn-base,1102018,NA,NA
,252,PFUnA,GroundwaterOn-base,112018,NA,NA
,252,PFTrDA,GroundwaterOn-base,102018,NA,NA
,253,PFBS,NA,NA,2017,2.5
,253,PFBA,NA,NA,2017,11
,253,PFHxA,NA,NA,2017,9.8
,253,PFOA,NA,NA,2017,0.5
,253,PFPeA,NA,NA,2017,27.8
,253,PFHpA,NA,NA,2017,3.5
,253,Total PFAS,NA,NA,2017,55.1
,254,6:2 FTS,GroundwaterOn-base,"1,3702019",NA,NA
,254,8:2 FTS,GroundwaterOn-base,"2,2002019",NA,NA
,254,NEtFOSAA,GroundwaterOn-base,"2,2002019",NA,NA
,254,NMeFOSAA,GroundwaterOn-base,"2,2002019",NA,NA
,254,PFBS,GroundwaterOn-base,"8,3602019",NA,NA
,254,PFHxA,GroundwaterOn-base,"6,5502019",NA,NA
,254,PFHxS,GroundwaterOn-base,"38,7002019",NA,NA
,254,PFNA,GroundwaterOn-base,122019,NA,NA
,254,PFOA,GroundwaterOn-base,"200,0002019",NA,NA
,254,PFOS,GroundwaterOn-base,"1,100,0002019",NA,NA
,254,PFOS+PFOA,GroundwaterOn-base,"968,0002019",NA,NA
,254,PFTrDA,GroundwaterOn-base,8302019,NA,NA
,254,PFUnA,GroundwaterOn-base,8302019,NA,NA
,255,PFBS,GroundwaterOn-base,"3,6002019",NA,NA
,255,PFHpA,GroundwaterOn-base,"4,0002019",NA,NA
,255,PFHxS,GroundwaterOn-base,"33,0002019",NA,NA
,255,PFNA,GroundwaterOn-base,2302019,NA,NA
,255,PFOA,GroundwaterOn-base,2302019,NA,NA
,255,PFOS,GroundwaterOn-base,"45,0002019",NA,NA
,255,PFOS+PFOA,GroundwaterOn-base,"45,2302019",NA,NA
,256,PFBS,GroundwaterOn-base,1502019,NA,NA
,256,PFHpA,GroundwaterOn-base,842019,NA,NA
,256,PFHxS,GroundwaterOn-base,2102019,NA,NA
,256,PFNA,GroundwaterOn-base,182019,NA,NA
,256,PFOA,GroundwaterOn-base,8.22019,NA,NA
,256,PFOS,GroundwaterOn-base,2902019,NA,NA
,256,PFOS+PFOA,GroundwaterOn-base,2952019,NA,NA
,257,PFBS,GroundwaterOn-base,352018,NA,NA
,257,PFHpA,GroundwaterOn-base,152018,NA,NA
,257,PFHxS,GroundwaterOn-base,1222018,NA,NA
,257,PFNA,GroundwaterOn-base,6.12018,NA,NA
,257,PFOA,GroundwaterOn-base,192018,NA,NA
,257,PFOS,GroundwaterOn-base,3552018,NA,NA
,257,PFOS+PFOA,GroundwaterOn-base,3742018,NA,NA
,258,PFBS,GroundwaterOn-base,"19,0002019",NA,NA
,258,PFOA,GroundwaterOn-base,"190,0002019",NA,NA
,258,PFOS,GroundwaterOn-base,"99,0002019",NA,NA
,258,PFOS+PFOA,GroundwaterOn-base,"205,0002019",NA,NA
,259,6:2 FTS,GroundwaterOn-base,"8,3002018",NA,NA
,259,8:2 FTS,GroundwaterOn-base,2902018,NA,NA
,259,PFBS,GroundwaterOn-base,"3,4002018",NA,NA
,259,PFHpA,GroundwaterOn-base,5802018,NA,NA
,259,PFHxA,GroundwaterOn-base,1102018,NA,NA
,259,PFHxS,GroundwaterOn-base,"3,4002018",NA,NA
,259,PFOA,GroundwaterOn-base,"41,0002018",NA,NA
,259,PFOS,GroundwaterOn-base,"66,0002018",NA,NA
,259,PFOS+PFOA,GroundwaterOn-base,"72,0002018",NA,NA
,259,PFPeA,GroundwaterOn-base,"2,0002018",NA,NA
,260,PFBS,GroundwaterOn-base,"34,0002018",NA,NA
,260,PFOA,GroundwaterOn-base,"790,0002018",NA,NA
,260,PFOS,GroundwaterOn-base,"360,0002018",NA,NA
,260,PFOS+PFOA,GroundwaterOn-base,"1,150,0002018",NA,NA
,261,PFBS,GroundwaterOn-base,"1,3002019",NA,NA
,261,PFHpA,GroundwaterOn-base,"1,1002019",NA,NA
,261,PFHxS,GroundwaterOn-base,"9,1002019",NA,NA
,261,PFNA,GroundwaterOn-base,2202019,NA,NA
,261,PFOA,GroundwaterOn-base,"4,1002019",NA,NA
,261,PFOS,GroundwaterOn-base,"6,0002019",NA,NA
,261,PFOS+PFOA,GroundwaterOn-base,"10,1002019",NA,NA
,262,PFBS,GroundwaterOn-base,"3,0002018",NA,NA
,262,PFHpA,GroundwaterOn-base,"2,9002018",NA,NA
,262,PFHxS,GroundwaterOn-base,"22,0002018",NA,NA
,262,PFNA,GroundwaterOn-base,1402018,NA,NA
,262,PFOA,GroundwaterOn-base,"8,5002018",NA,NA
