pws_id,Chemical,Years tested,Maximum Level (ppt)
AL0001748,PFBS,2023,4.1
AL0001748,PFBA,2023,6.8
AL0001748,Total PFAS,2023,10
AL0001781,PFHxA,2020,6.1
AL0001781,Total PFAS,2020,6.1
AL0001783,PFHxS,2022,0.7
AL0001783,Total PFAS,2022,0.7
AR0000027,PFBA,2023,5.6
AR0000027,Total PFAS,2023,5.6
AR0000041,6:2 FTSA,2023,6.7
AR0000041,Total PFAS,2023,6.7
AR0000056,PFBS,2023,7
AR0000056,PFHxA,2023,3.6
AR0000056,PFPeA,2023,5.5
AR0000056,Total PFAS,2023,16
AR0000244,PFBA,2023,5.4
AR0000244,Total PFAS,2023,5.4
AZ0401004,PFBS,2023,3.1
AZ0401004,Total PFAS,2023,3.1
AZ0402010,PFPeA,2023,3
AZ0402010,Total PFAS,2023,3
AZ0407025,PFBS,2023,16
AZ0407025,PFBA,2023,6
AZ0407025,Total PFAS,2023,21
AZ0407090,PFBS,2023,10
AZ0407090,PFBA,2023,5
AZ0407090,PFPeA,2023,3
AZ0407090,Total PFAS,2023,11
AZ0407091,PFBS,2023,9
AZ0407091,PFHxA,2023,6
AZ0407091,PFOA,2023,4
AZ0407091,PFPeA,2023,10
AZ0407091,Total PFAS,2023,29
AZ0407092,PFBS,2023,11
AZ0407092,Total PFAS,2023,11
AZ0407101,PFBS,2023,7.8
AZ0407101,PFBA,2023,6.5
AZ0407101,Total PFAS,2023,14
AZ0407128,PFBA,2023,7
AZ0407128,Total PFAS,2023,7
AZ0408063,PFBS,2023,5.6
AZ0408063,PFHxA,2023,3
AZ0408063,PFPeA,2023,5.1
AZ0408063,Total PFAS,2023,11
AZ0411017,PFBS,2023,60
AZ0411017,PFBA,2023,9
AZ0411017,PFHxS,2023,7
AZ0411017,Total PFAS,2023,76
CA0110005,PFBA,2023,5.2
CA0110005,Total PFAS,2023,5.2
CA0110018,PFBS,2021-2022,2.2
CA0110018,PFHxS,2020-2022,3.7
CA0110018,PFOS,2022,2.1
CA0110018,Total PFAS,2020-2022,5.9
CA0710001,PFHxA,2021,2
CA0710001,Total PFAS,2021,2
CA0710002,PFBS,2021,2
CA0710002,PFHxA,2022,2.4
CA0710002,PFOA,2022,2.3
CA0710002,Total PFAS,2021-2022,4.7
CA0800552,PFBS,2020,1.7
CA0800552,PFHxS,2020-2021,2.3
CA0800552,PFOS,2021,1.7
CA0800552,Total PFAS,2020-2021,4
CA0910001,PFPeA,2023,3.2
CA0910001,Total PFAS,2023,3.2
CA1000399,PFBS,2023,2
CA1000399,PFHxS,2023,4
CA1000399,PFHxA,2023,2.3
CA1000399,PFOA,2023,3.2
CA1000399,Total PFAS,2023,12
CA1010006,6:2 FTSA,2023,5.3
CA1010006,Total PFAS,2023,5.3
CA1500404,PFBS,2021,2.5
CA1500404,PFOA,2021,2.9
CA1500404,Total PFAS,2021,5.4
CA1500407,PFBS,2023,2
CA1500407,PFOS,2023,1.9
CA1500407,PFOA,2023,2.1
CA1500407,PFPeA,2023,2.1
CA1500407,Total PFAS,2023,8.1
CA1510015,PFBS,2020,16
CA1510015,PFHxA,2019,4
CA1510015,Total PFAS,2019-2020,16
CA1710006,PFBA,2023,8.2
CA1710006,PFPeA,2023,3.9
CA1710006,Total PFAS,2023,12
CA1710010,PFBS,2023,5.5
CA1710010,Total PFAS,2023,5.5
CA1900038,ADONA,2019,6.6
CA1900038,Total PFAS,2019,6.6
CA1900154,PFOA,2021,3.9
CA1900154,Total PFAS,2021,3.9
CA1910002,PFHxS,2019,2.2
CA1910002,Total PFAS,2019,2.2
CA1910009,PFHxS,2019,8.7
CA1910009,PFHxA,2019,3.9
CA1910009,PFOS,2019-2022,3
CA1910009,PFOA,2019-2022,3.8
CA1910009,PFHpA,2019,1.8
CA1910009,Total PFAS,2019-2022,21
CA1910041,PFBS,2023,3.6
CA1910041,PFHxS,2023,3.5
CA1910041,PFHxA,2019-2023,5.4
CA1910041,PFOA,2023,3.2
CA1910041,PFHpA,2023,2.9
CA1910041,Total PFAS,2019-2023,19
CA1910043,PFHxA,2019-2023,4.5
CA1910043,PFOA,2022-2023,2.7
CA1910043,Total PFAS,2019-2023,6.9
CA1910062,PFOA,2019,1.7
CA1910062,Total PFAS,2019,1.7
CA1910065,PFHxA,2019,5.1
CA1910065,Total PFAS,2019,5.1
CA1910072,PFOS,2023,2.7
CA1910072,Total PFAS,2023,2.7
CA1910073,PFHxS,2019,3
CA1910073,PFOS,2019,3.1
CA1910073,Total PFAS,2019,6.1
CA1910085,PFOS,2020-2022,4
CA1910085,Total PFAS,2020-2022,4
CA1910102,PFHxA,2021,2
CA1910102,Total PFAS,2021,2
CA1910147,PFOS,2023,3.9
CA1910147,Total PFAS,2023,3.9
CA1910156,PFBS,2022-2023,3.2
CA1910156,PFHxA,2022-2023,6
CA1910156,PFOA,2022-2023,2.7
CA1910156,PFPeA,2023,6.8
CA1910156,PFHpA,2023,2.3
CA1910156,Total PFAS,2022-2023,21
CA1910179,PFHxA,2019-2022,2.9
CA1910179,Total PFAS,2019-2022,2.9
CA1910194,PFBA,2023,10
CA1910194,Total PFAS,2023,10
CA1910213,PFHxS,2023,2.4
CA1910213,PFOS,2023,2.7
CA1910213,Total PFAS,2023,5.1
CA2010012,PFBS,2020,6.7
CA2010012,Total PFAS,2020,6.7
CA2010014,PFHxA,2020,6.9
CA2010014,Total PFAS,2020,6.9
CA2110007,PFBA,2023,5.6
CA2110007,Total PFAS,2023,5.6
CA2600700,PFOS,2019,1.9
CA2600700,Total PFAS,2019,1.9
CA2702007,PFHxA,2019,2.6
CA2702007,Total PFAS,2019,2.6
CA2710017,PFBS,2020,2
CA2710017,PFHxA,2019-2023,5.5
CA2710017,Total PFAS,2019-2023,6.9
CA2910003,PFHxA,2023,3.7
CA2910003,PFOA,2020,2.3
CA2910003,PFPeA,2023,4.6
CA2910003,Total PFAS,2020-2023,8.3
CA3000519,PFHxS,2023,4.6
CA3000519,PFOS,2023,3.6
CA3000519,Total PFAS,2023,13
CA3010042,PFBA,2023,5.8
CA3010042,Total PFAS,2023,5.8
CA3010069,PFOS,2020,2
CA3010069,Total PFAS,2020,2
CA3010079,PFBA,2023,6.7
CA3010079,Total PFAS,2023,6.7
CA3301541,PFOS,2021,2.9
CA3301541,Total PFAS,2021,2.9
CA3310006,PFBA,2023,8
CA3310006,Total PFAS,2023,8
CA3310017,PFBS,2023,4.7
CA3310017,PFHxS,2023,3.5
CA3310017,PFHxA,2023,6.3
CA3310017,PFPeA,2023,8.9
CA3310017,Total PFAS,2023,23
CA3310029,PFBA,2023,11
CA3310029,PFHxA,2023,11
CA3310029,PFPeA,2023,25
CA3310029,Total PFAS,2023,47
CA3310049,PFBS,2023,3
CA3310049,PFHxS,2023,3.4
CA3310049,PFPeA,2023,4.7
CA3310049,Total PFAS,2023,6.4
CA3310800,PFHxS,2023,3.2
CA3310800,Total PFAS,2023,3.2
CA3400190,PFHxS,2021,3.6
CA3400190,Total PFAS,2021,3.6
CA3400191,PFHxS,2021-2023,5.8
CA3400191,Total PFAS,2021-2023,5.8
CA3400217,PFBS,2019-2022,2.4
CA3400217,PFHxS,2019-2022,6.6
CA3400217,PFHxA,2019-2022,6.3
CA3400217,PFOS,2019,1
CA3400217,PFOA,2019-2022,3.2
CA3400217,PFHpA,2019-2022,2.5
CA3400217,Total PFAS,2019-2022,17
CA3400296,PFOA,2023,2
CA3400296,Total PFAS,2023,2
CA3410002,PFHxS,2019,1.5
CA3410002,PFOS,2019,2.8
CA3410002,PFOA,2019,2.3
CA3410002,Total PFAS,2019,6.6
CA3410003,PFHxA,2021,2.4
CA3410003,Total PFAS,2021,2.4
CA3410008,PFHxS,2020-2023,3.2
CA3410008,PFHxA,2020-2023,2.3
CA3410008,PFOA,2020-2023,2.1
CA3410008,PFPeA,2023,3.2
CA3410008,PFHpA,2020,1.4
CA3410008,Total PFAS,2020-2023,11
CA3410012,PFOS,2019,2.8
CA3410012,PFOA,2019,1.9
CA3410012,Total PFAS,2019,4.4
CA3410015,PFBS,2023,1.7
CA3410015,PFHxS,2021-2023,4.2
CA3410015,PFHxA,2021-2023,3.7
CA3410015,PFOS,2021-2022,2.9
CA3410015,PFOA,2021-2023,3.8
CA3410015,PFPeA,2023,3.8
CA3410015,PFHpA,2021-2023,2
CA3410015,Total PFAS,2021-2023,19
CA3410031,PFHxA,2021,2.1
CA3410031,Total PFAS,2021,2.1
CA3410047,PFHxA,2019-2023,2.8
CA3410047,PFOS,2019,2.2
CA3410047,PFOA,2019,1.6
CA3410047,PFPeA,2023,2.5
CA3410047,Total PFAS,2019-2023,6.6
CA3600108,PFBS,2023,3.2
CA3600108,PFHxS,2023,6.2
CA3600108,PFHxA,2023,3.5
CA3600108,PFPeA,2023,5.6
CA3600108,Total PFAS,2023,16
CA3600187,PFOS,2019,2.3
CA3600187,Total PFAS,2019,2.3
CA3600215,PFHxS,2021,1.7
CA3600215,Total PFAS,2021,1.7
CA3601130,PFHpA,2021,1.7
CA3601130,Total PFAS,2021,1.7
CA3610004,PFBS,2023,2.8
CA3610004,PFHxS,2023,9.9
CA3610004,PFHxA,2023,3.2
CA3610004,PFOA,2023,3.2
CA3610004,PFPeA,2023,3.2
CA3610004,Total PFAS,2023,13
CA3610012,PFHxA,2019,2
CA3610012,Total PFAS,2019,2
CA3610013,N-EtFOSAA,2019,4
CA3610013,NMeFOSAA,2019,2.8
CA3610013,Total PFAS,2019,6.8
CA3610018,PFPeA,2023,2.7
CA3610018,Total PFAS,2023,2.7
CA3610039,PFBS,2021,4.5
CA3610039,PFHxS,2021-2022,3.9
CA3610039,PFHxA,2021,2.4
CA3610039,PFOS,2021,2.9
CA3610039,Total PFAS,2021-2022,14
CA3610044,PFBS,2023,3.9
CA3610044,PFHxS,2023,4.1
CA3610044,Total PFAS,2023,8
CA3610064,PFBS,2021,21
CA3610064,PFHxS,2021,1.8
CA3610064,Total PFAS,2021,23
CA3702354,PFBS,2023,6.4
CA3702354,PFBA,2023,3.4
CA3702354,PFHxS,2023,2.9
CA3702354,PFOS,2023,2.1
CA3702354,PFOA,2023,3
CA3702354,PFPeA,2023,2.1
CA3702354,Total PFAS,2023,20
CA3710014,PFBS,2022-2023,2.1
CA3710014,Total PFAS,2022-2023,2.1
CA3710037,PFBA,2023,5.8
CA3710037,Total PFAS,2023,5.8
CA3710042,PFOS,2022,1
CA3710042,Total PFAS,2022,1
CA3900661,PFOS,2021,2.9
CA3900661,Total PFAS,2021,2.9
CA3900742,PFHxS,2019,1.7
CA3900742,Total PFAS,2019,1.7
CA3901215,PFOS,2023,2.1
CA3901215,Total PFAS,2023,2.1
CA3901480,PFOS,2023,2.5
CA3901480,Total PFAS,2023,2.5
CA3910004,PFBS,2023,17
CA3910004,Total PFAS,2023,17
CA4000225,PFHxA,2023,2.6
CA4000225,Total PFAS,2023,2.6
CA4000770,PFBS,2019,4.2
CA4000770,PFHxS,2019-2020,5.4
CA4000770,PFOS,2019,3.8
CA4000770,Total PFAS,2019-2020,13
CA4000775,PFHxA,2023,2
CA4000775,Total PFAS,2023,2
CA4000778,PFHxS,2019,1.3
CA4000778,PFOS,2019,2.1
CA4000778,Total PFAS,2019,3.4
CA4010010,PFHxS,2023,1.7
CA4010010,PFOS,2021-2023,2.9
CA4010010,Total PFAS,2021-2023,4.6
CA4010017,PFBS,2023,3.2
CA4010017,PFHxS,2023,8.8
CA4010017,PFHxA,2023,4.3
CA4010017,PFPeA,2023,3.4
CA4010017,Total PFAS,2023,16
CA4110013,PFOS,2022,1.2
CA4110013,Total PFAS,2022,1.2
CA4210010,PFHxS,2019,2.2
CA4210010,Total PFAS,2019,2.2
CA4210011,PFHxA,2019-2020,3.1
CA4210011,PFOA,2019-2020,2.1
CA4210011,Total PFAS,2019-2020,5.2
CA4210013,PFBS,2023,2.2
CA4210013,PFHxA,2023,2
CA4210013,PFPeA,2023,2
CA4210013,Total PFAS,2023,4
CA4210700,PFHxA,2021,2.8
CA4210700,Total PFAS,2021,2.8
CA4300808,PFHxS,2023,2.7
CA4300808,PFOS,2023,2.1
CA4300808,Total PFAS,2023,4.8
CA4300833,PFHxS,2023,2.2
CA4300833,PFOS,2023,2.3
CA4300833,Total PFAS,2023,4.5
CA4310006,PFHxS,2023,3.3
CA4310006,PFPeA,2023,3.5
CA4310006,Total PFAS,2023,6.5
CA4310018,PFBS,2020,0.6
CA4310018,PFHxS,2020,0.9
CA4310018,Total PFAS,2020,1.4
CA4310020,PFBS,2020-2022,2
CA4310020,PFHxS,2020-2023,4.1
CA4310020,PFHxA,2020-2022,1.2
CA4310020,PFOS,2020-2022,1.9
CA4310020,Total PFAS,2020-2023,7.5
CA4400558,PFNA,2023,1.9
CA4400558,PFDA,2023,1.9
CA4400558,Total PFAS,2023,3.8
CA4410013,PFHxA,2023,4.5
CA4410013,PFPeA,2023,6.5
CA4410013,Total PFAS,2023,11
CA4500303,ADONA,2019,2.7
CA4500303,Total PFAS,2019,2.7
CA4500333,PFOA,2019,2
CA4500333,Total PFAS,2019,2
CA4700542,PFBS,2019-2020,2.9
CA4700542,PFHxA,2019,2.4
CA4700542,PFOS,2019,2
CA4700542,Total PFAS,2019-2020,6.8
CA4810003,PFHxA,2020,2.1
CA4810003,Total PFAS,2020,2.1
CA4900797,PFOS,2020-2021,3.1
CA4900797,Total PFAS,2020-2021,3.1
CA4910007,PFHxS,2023,3.3
CA4910007,Total PFAS,2023,3.3
CA4910012,PFHxA,2023,4.3
CA4910012,PFOA,2023,4
CA4910012,Total PFAS,2023,8.3
CA4910020,PFBS,2020-2022,2.5
CA4910020,PFHxS,2022,3.2
CA4910020,PFOS,2020-2022,2.4
CA4910020,PFOA,2021,3.1
CA4910020,Total PFAS,2020-2022,8.1
CA5010018,PFOS,2023,3
CA5010018,Total PFAS,2023,3
CA5110001,PFHxA,2023,3
CA5110001,PFPeA,2023,3.4
CA5110001,Total PFAS,2023,6.3
CA5200014,PFHxA,2020,2.7
CA5200014,PFOS,2020,2
CA5200014,PFOA,2020,2.1
CA5200014,Total PFAS,2020,6.3
CA5602110,PFHxS,2021-2022,4.2
CA5602110,Total PFAS,2021-2022,4.2
CA5602120,PFHxS,2020-2021,2.8
CA5602120,PFOS,2020-2022,3.3
CA5602120,Total PFAS,2020-2022,3.3
CA5602133,PFBS,2020-2023,3.2
CA5602133,PFHxS,2020-2023,3.6
CA5602133,PFOS,2021,1.9
CA5602133,Total PFAS,2020-2023,7.3
CA5602407,PFBS,2020,1.8
CA5602407,PFHxS,2020-2021,4.5
CA5602407,PFOS,2020-2021,2.9
CA5602407,Total PFAS,2020-2021,9.2
CA5610017,PFBS,2023,3.1
CA5610017,PFHxS,2023,3
CA5610017,Total PFAS,2023,6.1
CA5610035,PFBS,2023,3
CA5610035,PFHxS,2023,2
CA5610035,Total PFAS,2023,5
CA5610056,PFHxS,2020,2
CA5610056,PFOS,2020,2.5
CA5610056,Total PFAS,2020,4.5
CA5700712,PFOS,2021-2022,2.4
CA5700712,Total PFAS,2021-2022,2.4
CA5710005,PFNA,2023,4.2
CA5710005,Total PFAS,2023,4.2
CO0101055,PFBS,2020,0.6
CO0101055,PFHxA,2020,0.8
CO0101055,PFOS,2020,0.6
CO0101055,PFOA,2020,0.6
CO0101055,PFHpA,2020,0.4
CO0101055,Total PFAS,2020,3.1
