pws_id,Chemical,Years tested,Maximum Level (ppt)
LA1085055,PFBA,2023,8.2
LA1085055,Total PFAS,2023,8.2
LA1089001,PFBA,2023,14
LA1089001,Total PFAS,2023,14
LA1093005,PFBA,2023,5.5
LA1093005,Total PFAS,2023,5.5
LA1095002,PFBA,2023,5.2
LA1095002,Total PFAS,2023,5.2
LA1109001,PFBA,2023,8
LA1109001,PFPeA,2023,3.7
LA1109001,Total PFAS,2023,12
LA1109002,PFBA,2023,6.8
LA1109002,Total PFAS,2023,6.8
LA1111005,PFPeA,2023,4.8
LA1111005,PFHpA,2023,3.5
LA1111005,Total PFAS,2023,7.8
MA1004001,PFOS,2020,1.7
MA1004001,Total PFAS,2020,1.7
MA1008000,PFBS,2021,0.5
MA1008000,PFHxA,2021,0.5
MA1008000,PFOS,2021,0.8
MA1008000,PFOA,2021,1.7
MA1008000,PFHpA,2021,0.7
MA1008000,Total PFAS,2021,3.2
MA1015000,PFBS,2021-2022,1.9
MA1015000,PFHxS,2021-2022,2.7
MA1015000,PFHxA,2021-2022,1
MA1015000,PFOS,2021-2022,1.5
MA1015000,PFOA,2021-2022,1.3
MA1015000,PFHpA,2021-2022,0.5
MA1015000,PFNA,2021-2022,6.8
MA1015000,Total PFAS,2021-2022,11
MA1015001,PFBS,2021,1
MA1015001,PFHxA,2021-2022,1.2
MA1015001,PFOA,2022,3.1
MA1015001,PFHpA,2022,0.9
MA1015001,HFPO-DA,2021,0.8
MA1015001,Total PFAS,2021-2022,5.2
MA1022010,PFOS,2022,0.4
MA1022010,Total PFAS,2022,0.4
MA1022011,PFBS,2022,0.4
MA1022011,PFHxS,2022,0.7
MA1022011,PFOS,2022,2
MA1022011,PFOA,2022,1
MA1022011,Total PFAS,2022,3.8
MA1022017,PFBS,2020,1
MA1022017,PFHxA,2020,0.8
MA1022017,Total PFAS,2020,1.8
MA1022021,PFBS,2022,0.5
MA1022021,Total PFAS,2022,0.5
MA1022026,PFBS,2021-2022,33
MA1022026,PFHxS,2021-2022,1.3
MA1022026,PFHxA,2021-2022,2
MA1022026,PFOS,2021-2022,1.1
MA1022026,PFOA,2021-2022,3
MA1022026,PFHpA,2021-2022,0.8
MA1022026,PFNA,2022,0.6
MA1022026,PFDoA,2022,0.4
MA1022026,Total PFAS,2021-2022,39
MA1022031,PFBS,2022,1.4
MA1022031,PFHxS,2022,0.6
MA1022031,PFHxA,2022,1
MA1022031,PFOS,2022,1.5
MA1022031,PFOA,2022,1.9
MA1022031,PFHpA,2022,0.6
MA1022031,Total PFAS,2022,6.9
MA1022032,PFBS,2022,7.6
MA1022032,PFHxS,2022,1
MA1022032,PFHxA,2022,2.3
MA1022032,PFOS,2022,2.4
MA1022032,PFOA,2022,3.8
MA1022032,PFHpA,2022,1.6
MA1022032,Total PFAS,2022,19
MA1022033,PFHxA,2021,0.5
MA1022033,PFOS,2021,1.3
MA1022033,Total PFAS,2021,1.8
MA1022035,PFBS,2022,1
MA1022035,PFOS,2022,0.9
MA1022035,PFOA,2022,0.7
MA1022035,Total PFAS,2022,2.6
MA1024000,PFBS,2020-2022,1.5
MA1024000,PFHxS,2022,1.5
MA1024000,PFHxA,2020-2022,1.1
MA1024000,PFOS,2022,2.6
MA1024000,PFOA,2022,3.4
MA1024000,PFHpA,2022,0.8
MA1024000,Total PFAS,2020-2022,10
MA1024002,PFBS,2022,2.8
MA1024002,PFHxS,2022,1
MA1024002,PFHxA,2022,1.4
MA1024002,PFOS,2022,2.4
MA1024002,PFOA,2022,4
MA1024002,PFHpA,2022,1.1
MA1024002,Total PFAS,2022,12
MA1024011,PFOS,2021-2022,1.7
MA1024011,PFOA,2021,0.4
MA1024011,Total PFAS,2021-2022,2.1
MA1024012,PFOS,2022,0.4
MA1024012,PFOA,2021-2022,1
MA1024012,Total PFAS,2021-2022,1.3
MA1024013,PFBS,2021-2022,2
MA1024013,PFHxA,2022,0.9
MA1024013,PFOA,2022,0.7
MA1024013,Total PFAS,2021-2022,3.4
MA1024015,PFBS,2021-2022,1.2
MA1024015,PFHxS,2021-2022,0.9
MA1024015,PFHxA,2021,1
MA1024015,PFOS,2021-2022,2.7
MA1024015,PFOA,2021-2022,2.4
MA1024015,Total PFAS,2021-2022,8.2
MA1029000,PFOS,2021-2022,0.5
MA1029000,Total PFAS,2021-2022,0.5
MA1033000,PFOS,2021,0.6
MA1033000,PFOA,2021,0.8
MA1033000,PFNA,2021,0.5
MA1033000,Total PFAS,2021,1.9
MA1043001,PFOS,2022,0.6
MA1043001,PFOA,2022,0.6
MA1043001,Total PFAS,2022,1.1
MA1043002,PFHxS,2022,0.7
MA1043002,PFHxA,2021-2022,1.4
MA1043002,PFOS,2021-2022,0.8
MA1043002,PFOA,2021-2022,1.9
MA1043002,PFHpA,2022,0.8
MA1043002,Total PFAS,2021-2022,5.6
MA1043017,PFOA,2022,1.3
MA1043017,Total PFAS,2022,1.3
MA1043018,PFBS,2022,0.6
MA1043018,PFHxA,2022,0.7
MA1043018,PFOS,2022,1.2
MA1043018,PFOA,2022,1.5
MA1043018,Total PFAS,2022,3.9
MA1053023,PFOS,2021,1.4
MA1053023,PFOA,2021,1.2
MA1053023,Total PFAS,2021,2.6
MA1053030,PFOS,2022,0.5
MA1053030,PFOA,2022,0.7
MA1053030,PFHpA,2022,0.4
MA1053030,Total PFAS,2022,1.6
MA1053032,PFOA,2021,2
MA1053032,Total PFAS,2021,2
MA1053033,PFOA,2022,0.4
MA1053033,Total PFAS,2022,0.4
MA1053034,PFOS,2022,0.5
MA1053034,Total PFAS,2022,0.5
MA1058000,PFBS,2021-2022,0.8
MA1058000,PFHxS,2022,0.5
MA1058000,PFHxA,2021-2022,0.5
MA1058000,PFOS,2021-2022,1.1
MA1058000,PFOA,2021-2022,1.4
MA1058000,NMeFOSAA,2022,0.7
MA1058000,Total PFAS,2021-2022,4.5
MA1058009,PFBS,2021,6.1
MA1058009,PFHxS,2021,1.1
MA1058009,PFHxA,2021,4
MA1058009,PFOS,2021,0.9
MA1058009,PFOA,2021,2.4
MA1058009,PFHpA,2021,1.8
MA1058009,Total PFAS,2021,15
MA1058011,PFHxS,2022,0.5
MA1058011,PFOS,2022,0.5
MA1058011,Total PFAS,2022,1
MA1059012,PFOS,2021,1.6
MA1059012,Total PFAS,2021,1.6
MA1060006,PFBS,2020-2022,1.4
MA1060006,PFHxS,2020,0.7
MA1060006,PFHxA,2020-2022,3.7
MA1060006,PFOS,2020-2022,2.3
MA1060006,PFOA,2020-2022,3.9
MA1060006,PFHpA,2020-2022,1.6
MA1060006,Total PFAS,2020-2022,13
MA1060008,PFHxA,2020,2.2
MA1060008,PFOS,2020,0.9
MA1060008,PFOA,2020,2.2
MA1060008,PFHpA,2020,1.8
MA1060008,Total PFAS,2020,7.1
MA1063008,PFOS,2022,0.5
MA1063008,Total PFAS,2022,0.5
MA1066005,PFOS,2022,0.5
MA1066005,PFOA,2022,0.9
MA1066005,Total PFAS,2022,1.3
MA1068003,PFHxA,2021,1.2
MA1068003,PFOA,2021,1.2
MA1068003,Total PFAS,2021,2.3
MA1069001,PFOS,2021-2022,0.6
MA1069001,PFOA,2021,0.5
MA1069001,Total PFAS,2021-2022,1.1
MA1069003,PFOS,2021-2022,1.1
MA1069003,PFOA,2021-2022,0.7
MA1069003,Total PFAS,2021-2022,1.8
MA1069007,PFOS,2021,0.9
MA1069007,Total PFAS,2021,0.9
MA1070000,PFHxA,2021-2022,1
MA1070000,Total PFAS,2021-2022,1
MA1074000,PFHxS,2021,0.5
MA1074000,Total PFAS,2021,0.5
MA1087000,PFHxS,2021-2022,1
MA1087000,PFHxA,2021,0.6
MA1087000,Total PFAS,2021-2022,1
MA1090012,PFOS,2022,1.2
MA1090012,PFOA,2022,0.6
MA1090012,Total PFAS,2022,1.8
MA1090014,PFHxA,2021,1.1
MA1090014,PFOS,2021,2
MA1090014,PFOA,2021,0.8
MA1090014,Total PFAS,2021,3.9
MA1091003,PFOA,2020,0.8
MA1091003,Total PFAS,2020,0.8
MA1091004,PFBS,2021,0.7
MA1091004,PFHxA,2021,0.6
MA1091004,PFOS,2021,1
MA1091004,PFOA,2021,1
MA1091004,Total PFAS,2021,3.3
MA1091005,PFHxA,2021-2022,0.4
MA1091005,PFOS,2021-2022,1.2
MA1091005,PFOA,2021-2022,1.4
MA1091005,PFHpA,2021,0.4
MA1091005,Total PFAS,2021-2022,3.4
MA1091007,PFBS,2021,1.7
MA1091007,PFHxS,2021,0.9
MA1091007,PFOS,2021,2.4
MA1091007,PFOA,2021,2.3
MA1091007,Total PFAS,2021,7.2
MA1091011,PFBS,2022,0.7
MA1091011,PFOS,2022,1
MA1091011,PFOA,2022,0.8
MA1091011,Total PFAS,2022,2.5
MA1098009,PFOS,2022,0.4
MA1098009,Total PFAS,2022,0.4
MA1106004,PFHxA,2021,0.4
MA1106004,PFHpA,2021,0.3
MA1106004,Total PFAS,2021,0.7
MA1108009,PFOS,2021,0.4
MA1108009,Total PFAS,2021,0.4
MA1111000,PFBS,2020-2022,1.9
MA1111000,PFHxS,2020,0.8
MA1111000,PFHxA,2020-2022,1.7
MA1111000,PFOS,2020-2022,2.3
MA1111000,PFOA,2020-2022,2.6
MA1111000,PFHpA,2020-2022,0.8
MA1111000,Total PFAS,2020-2022,8.6
MA1111003,PFBS,2021-2022,1.5
MA1111003,PFHxS,2022,1.1
MA1111003,PFHxA,2022,0.9
MA1111003,PFOS,2021-2022,2.6
MA1111003,PFOA,2021-2022,1.9
MA1111003,PFHpA,2022,0.6
MA1111003,Total PFAS,2021-2022,8.5
MA1111013,9Cl-PF3ONS,2021,1.8
MA1111013,11Cl-PF3OUdS,2021,1.6
MA1111013,N-EtFOSAA,2021,1.1
MA1111013,NMeFOSAA,2021,1.1
MA1111013,Total PFAS,2021,5.6
MA1111029,PFOS,2021,0.7
MA1111029,PFHpA,2021,0.6
MA1111029,Total PFAS,2021,1.3
MA1111038,PFHpA,2021,0.5
MA1111038,Total PFAS,2021,0.5
MA1111039,PFBS,2021-2022,0.9
MA1111039,Total PFAS,2021-2022,0.9
MA1111041,PFBS,2021,3.3
MA1111041,PFOS,2021,0.7
MA1111041,PFOA,2021,0.9
MA1111041,Total PFAS,2021,4.9
MA1111042,PFBS,2021,0.6
MA1111042,PFOA,2021,0.8
MA1111042,PFHpA,2021,0.7
MA1111042,Total PFAS,2021,2.1
MA1111043,PFHpA,2021,0.7
MA1111043,Total PFAS,2021,0.7
MA1111044,PFOS,2021,0.6
MA1111044,Total PFAS,2021,0.6
MA1111045,PFHxA,2022,0.6
MA1111045,Total PFAS,2022,0.6
MA1112003,PFBS,2021,3.5
MA1112003,PFHxA,2021,0.6
MA1112003,PFOS,2021,0.9
MA1112003,PFOA,2021,0.9
MA1112003,Total PFAS,2021,4.4
MA1112008,PFOS,2022,0.6
MA1112008,Total PFAS,2022,0.6
MA1113000,PFOS,2021-2022,1.1
MA1113000,PFOA,2022,0.8
MA1113000,Total PFAS,2021-2022,1.4
MA1113003,PFHxA,2022,0.9
MA1113003,PFOS,2022,0.6
MA1113003,PFOA,2022,1.7
MA1113003,PFHpA,2022,1.7
MA1113003,Total PFAS,2022,4.6
MA1113006,PFOS,2021,0.6
MA1113006,Total PFAS,2021,0.6
MA1113013,PFOS,2022,0.4
MA1113013,Total PFAS,2022,0.4
MA1113015,PFOA,2022,0.7
MA1113015,PFHpA,2022,0.4
MA1113015,Total PFAS,2022,1.1
MA1113030,PFOS,2020,0.7
MA1113030,Total PFAS,2020,0.7
MA1120001,PFBS,2021-2022,1.3
MA1120001,PFHxA,2022,0.7
MA1120001,PFOS,2021-2022,0.8
MA1120001,PFOA,2021-2022,1.4
MA1120001,PFHpA,2022,0.4
MA1120001,Total PFAS,2021-2022,3.6
MA1120004,PFBS,2021,2.5
MA1120004,PFHxS,2021,0.8
MA1120004,PFHxA,2021,2
MA1120004,PFOS,2021,2.5
MA1120004,PFOA,2021,3.8
MA1120004,PFHpA,2021,1
MA1120004,Total PFAS,2021,13
MA1120020,PFBS,2022,0.9
MA1120020,PFHxS,2022,0.8
MA1120020,PFOS,2022,1.2
MA1120020,PFOA,2022,0.9
MA1120020,Total PFAS,2022,3.9
MA1120021,PFBS,2022,0.7
MA1120021,PFOS,2022,1.6
MA1120021,Total PFAS,2022,2.3
MA1120022,PFBS,2021-2022,1.5
MA1120022,PFHxS,2021-2022,0.7
MA1120022,PFHxA,2021-2022,1.9
MA1120022,PFOS,2021-2022,1.5
MA1120022,PFOA,2021-2022,2.9
MA1120022,PFHpA,2021-2022,1
MA1120022,Total PFAS,2021-2022,8.8
MA1120024,PFHxS,2021,0.8
MA1120024,PFHxA,2021,1.1
MA1120024,PFOS,2021,1.6
MA1120024,PFOA,2021,1.6
MA1120024,PFNA,2021,0.6
MA1120024,Total PFAS,2021,5.7
MA1121004,PFBS,2020,0.6
MA1121004,Total PFAS,2020,0.6
MA1121010,PFBS,2020-2022,3.4
MA1121010,PFHxA,2020-2022,1.2
MA1121010,PFOS,2022,0.7
MA1121010,PFOA,2020-2022,3.1
MA1121010,PFHpA,2020-2022,1.4
MA1121010,PFNA,2022,0.5
MA1121010,Total PFAS,2020-2022,10
MA1121015,PFHxA,2020,0.3
MA1121015,Total PFAS,2020,0.3
MA1124000,PFHxS,2022,0.6
MA1124000,PFHxA,2022,0.9
MA1124000,PFOS,2021-2022,2.8
MA1124000,PFOA,2021-2022,2.5
MA1124000,PFHpA,2022,1
MA1124000,Total PFAS,2021-2022,7.8
MA1124002,N-EtFOSAA,2022,0.7
MA1124002,Total PFAS,2022,0.7
MA1124003,PFBS,2021-2022,0.8
MA1124003,PFHxA,2021-2022,2.2
MA1124003,PFOS,2021,0.6
MA1124003,PFOA,2021-2022,3
MA1124003,PFHpA,2021-2022,1.8
MA1124003,Total PFAS,2021-2022,7.6
MA1127000,PFBS,2020-2022,6.5
MA1127000,PFHxS,2020-2022,1.3
MA1127000,PFHxA,2020-2022,27
MA1127000,PFOS,2020-2022,1.6
MA1127000,PFOA,2020-2022,3.4
MA1127000,PFHpA,2020-2022,1
MA1127000,Total PFAS,2020-2022,36
MA1132000,PFOA,2021,1.1
MA1132000,Total PFAS,2021,1.1
MA1132002,PFHxS,2021-2022,0.6
MA1132002,PFOS,2021-2022,0.7
MA1132002,PFOA,2021-2022,0.7
MA1132002,Total PFAS,2021-2022,1.3
MA1132008,PFBS,2021-2022,1.8
MA1132008,PFHxA,2021-2022,0.6
MA1132008,PFOS,2021-2022,0.7
MA1132008,PFOA,2021-2022,1.4
MA1132008,PFHpA,2021-2022,0.4
MA1132008,Total PFAS,2021-2022,4.8
MA1132009,PFHxS,2020,1.3
MA1132009,PFOS,2020,1.4
MA1132009,Total PFAS,2020,2.7
MA1135001,PFHxS,2022,0.9
MA1135001,PFOS,2022,1.6
MA1135001,Total PFAS,2022,2.5
MA1137000,PFOS,2021,0.7
MA1137000,PFOA,2021,0.6
MA1137000,PFHpA,2021,0.4
MA1137000,Total PFAS,2021,1.7
MA1143013,PFHxS,2022,0.6
MA1143013,PFOS,2022,1.3
MA1143013,PFOA,2022,0.4
MA1143013,Total PFAS,2022,2.4
MA1143014,PFOS,2022,1.2
MA1143014,PFOA,2022,0.5
MA1143014,Total PFAS,2022,1.7
MA1148001,PFHxA,2022,0.6
MA1148001,PFOS,2022,0.4
MA1148001,PFOA,2021-2022,0.8
MA1148001,PFHpA,2022,0.4
MA1148001,Total PFAS,2021-2022,2.1
MA1148019,PFBS,2022,0.6
MA1148019,PFHxA,2022,0.4
MA1148019,PFOS,2022,1.4
MA1148019,PFOA,2022,1.3
MA1148019,Total PFAS,2022,3.7
MA1150000,PFOS,2022,0.4
MA1150000,PFOA,2021-2022,0.6
MA1150000,PFHpA,2021-2022,0.5
MA1150000,Total PFAS,2021-2022,1.1
MA1154001,PFBS,2021-2022,1.6
MA1154001,PFHxS,2021-2022,1.6
MA1154001,PFHxA,2021-2022,1.2
MA1154001,PFOS,2021-2022,2.2
MA1154001,PFOA,2021-2022,2.6
MA1154001,PFHpA,2021-2022,1.1
MA1154001,PFDoA,2021,1.8
MA1154001,PFTA,2021,1.8
MA1154001,PFTrDA,2021,1.8
MA1154001,PFUnA,2021,1.8
MA1154001,9Cl-PF3ONS,2021,3.6
MA1154001,11Cl-PF3OUdS,2021,3.6
MA1154001,ADONA,2021,1.8
MA1154001,HFPO-DA,2021,1.8
MA1154001,N-EtFOSAA,2021,3.6
MA1154001,NMeFOSAA,2021,3.6
MA1154001,Total PFAS,2021-2022,32
MA1191000,PFBS,2021-2022,1.2
MA1191000,PFHxS,2021-2022,0.8
MA1191000,PFHxA,2021-2022,1.9
MA1191000,PFOS,2021-2022,1.5
MA1191000,PFOA,2021-2022,2.7
MA1191000,PFHpA,2021-2022,2.3
MA1191000,N-EtFOSAA,2022,0.6
MA1191000,Total PFAS,2021-2022,11
MA1191003,PFBS,2021,0.6
MA1191003,PFOA,2021,1.5
MA1191003,Total PFAS,2021,2.1
MA1191007,PFBS,2022,1
MA1191007,PFHxA,2022,1.8
MA1191007,PFOA,2022,2.3
MA1191007,PFHpA,2022,0.8
MA1191007,Total PFAS,2022,5.9
MA1191011,PFHxS,2021,0.6
MA1191011,PFOA,2021,0.8
MA1191011,Total PFAS,2021,1.3
MA1192000,PFOS,2020,0.7
MA1192000,Total PFAS,2020,0.7
MA1193008,PFHxA,2022,2.2
MA1193008,PFOA,2022,1
MA1193008,PFHpA,2022,0.8
MA1193008,Total PFAS,2022,4
MA1193015,PFBS,2020,0.7
MA1193015,PFHxS,2020,0.7
MA1193015,PFHxA,2020,0.5
MA1193015,PFOS,2020,2
MA1193015,Total PFAS,2020,3.9
MA1193020,PFOS,2022,1.3
MA1193020,PFOA,2022,0.5
MA1193020,PFHpA,2019,5
MA1193020,PFNA,2019,2
MA1193020,Total PFAS,2019-2022,7
MA1193022,PFHpA,2021,0.5
MA1193022,Total PFAS,2021,0.5
MA1193023,PFHxA,2021,1.7
MA1193023,PFHpA,2021,3.1
MA1193023,PFNA,2021,0.5
MA1193023,Total PFAS,2021,5.3
MA1195001,PFBS,2021,2.3
MA1195001,PFOS,2021,1
MA1195001,Total PFAS,2021,3.3
MA1200005,PFOS,2020,1.3
MA1200005,Total PFAS,2020,1.3
MA1203000,PFBS,2022,1.1
MA1203000,PFHxS,2022,0.6
MA1203000,PFHxA,2022,4.1
MA1203000,PFOA,2022,2.6
MA1203000,PFHpA,2022,1.8
MA1203000,Total PFAS,2022,10
MA1203002,PFBS,2021,2.1
MA1203002,PFOS,2021,0.7
MA1203002,PFOA,2021,0.7
MA1203002,Total PFAS,2021,3.5
MA1203007,PFOS,2020,0.9
MA1203007,Total PFAS,2020,0.9
MA1203011,PFOS,2021-2022,0.6
MA1203011,PFOA,2021-2022,0.5
MA1203011,Total PFAS,2021-2022,1
MA1209001,PFHxS,2022,1
MA1209001,PFOS,2022,1.4
MA1209001,PFOA,2022,1.4
MA1209001,Total PFAS,2022,2.8
MA1214000,PFBS,2021-2022,3.2
MA1214000,PFHxS,2021-2022,1.9
MA1214000,PFHxA,2021-2022,1
MA1214000,PFOS,2021-2022,1.1
MA1214000,PFOA,2021-2022,2.5
MA1214000,PFHpA,2021-2022,0.8
MA1214000,N-EtFOSAA,2021,1.1
MA1214000,NMeFOSAA,2021,0.9
MA1214000,Total PFAS,2021-2022,10
MA1217000,PFOS,2021-2022,1
MA1217000,PFOA,2022,0.7
MA1217000,Total PFAS,2021-2022,1.7
MA1217002,PFHxA,2021,0.4
MA1217002,PFHpA,2021,0.3
MA1217002,Total PFAS,2021,0.8
MA1217003,PFHxA,2020-2022,1
MA1217003,PFOS,2021-2022,0.4
MA1217003,PFOA,2020-2022,0.9
MA1217003,PFHpA,2020-2022,0.7
MA1217003,Total PFAS,2020-2022,2.4
MA1223000,PFBS,2022,1.8
MA1223000,PFHxS,2022,1
MA1223000,PFOS,2022,1
MA1223000,PFOA,2021-2022,0.8
MA1223000,Total PFAS,2021-2022,4.4
MA1223006,PFBS,2022,0.8
MA1223006,PFHxS,2022,0.6
MA1223006,PFOS,2022,0.6
MA1223006,PFOA,2022,1.6
MA1223006,PFHpA,2022,0.4
MA1223006,Total PFAS,2022,4
MA1223011,PFHxA,2022,1.3
MA1223011,PFOS,2022,0.4
MA1223011,PFOA,2022,1.4
MA1223011,PFHpA,2022,1.9
MA1223011,Total PFAS,2022,4.9
MA1223012,PFBS,2022,0.7
MA1223012,PFHxA,2022,0.9
MA1223012,PFOS,2022,0.7
MA1223012,PFOA,2022,1.1
MA1223012,PFHpA,2022,0.4
MA1223012,Total PFAS,2022,3.8
MA1223017,PFBS,2022,3.1
MA1223017,PFOA,2022,0.4
MA1223017,PFHpA,2022,0.4
MA1223017,Total PFAS,2022,3.9
MA1225009,PFBS,2022,7.6
MA1225009,PFHxS,2022,0.5
MA1225009,PFHxA,2022,1
MA1225009,PFOS,2022,3.9
MA1225009,PFOA,2022,3
MA1225009,PFHpA,2022,1.1
MA1225009,PFNA,2022,0.7
MA1225009,9Cl-PF3ONS,2022,1.9
MA1225009,Total PFAS,2022,12
MA1225040,PFOS,2021-2022,0.6
MA1225040,PFOA,2021-2022,0.7
MA1225040,Total PFAS,2021-2022,1.2
MA1225045,PFBS,2022,2.4
MA1225045,PFHxS,2022,1.6
MA1225045,PFHxA,2022,2
MA1225045,PFOS,2022,0.8
MA1225045,PFOA,2022,3.7
MA1225045,PFHpA,2022,1.4
MA1225045,Total PFAS,2022,12
MA1227002,PFBS,2021-2022,6.8
MA1227002,PFHxS,2021-2022,1.6
MA1227002,PFOS,2021-2022,0.8
MA1227002,PFOA,2021-2022,1.4
MA1227002,Total PFAS,2021-2022,8.1
MA1227010,PFOS,2021,0.8
MA1227010,PFOA,2021,1.2
MA1227010,Total PFAS,2021,2
MA1227014,PFHxS,2021,0.5
MA1227014,Total PFAS,2021,0.5
MA1227015,PFBS,2021-2022,2.4
MA1227015,Total PFAS,2021-2022,2.4
MA1227018,PFBS,2021,0.9
MA1227018,PFHxA,2021,1.2
MA1227018,PFOA,2021,1.1
MA1227018,PFHpA,2021,0.9
MA1227018,Total PFAS,2021,4.1
MA1234003,PFHxS,2021,0.7
MA1234003,PFHxA,2021-2022,1.2
MA1234003,PFOS,2021-2022,1.2
MA1234003,PFOA,2021-2022,2.6
MA1234003,PFHpA,2021-2022,1
MA1234003,Total PFAS,2021-2022,6.7
MA1234005,PFHxA,2021,3.5
MA1234005,PFOA,2021,1
MA1234005,PFHpA,2021,1.8
MA1234005,Total PFAS,2021,6.2
MA1234011,PFBS,2022,1
MA1234011,PFHxA,2022,0.5
MA1234011,PFOA,2022,0.7
MA1234011,Total PFAS,2022,2.2
MA1234013,PFHxS,2021,0.6
MA1234013,Total PFAS,2021,0.6
MA1236000,PFHxA,2022,0.7
MA1236000,PFOS,2022,0.5
MA1236000,PFOA,2021-2022,1.2
MA1236000,PFHpA,2021-2022,0.9
MA1236000,Total PFAS,2021-2022,2.7
MA1236013,PFBS,2020,1.2
MA1236013,PFHxS,2020,0.7
MA1236013,PFHxA,2020,0.6
MA1236013,PFOS,2020,2.6
MA1236013,PFOA,2020,1.2
MA1236013,Total PFAS,2020,6.3
MA1236016,PFOS,2020,1.9
MA1236016,Total PFAS,2020,1.9
MA1253002,PFBS,2022,1.3
MA1253002,PFHxA,2022,3.8
MA1253002,PFOS,2022,1.1
MA1253002,PFOA,2022,1.3
MA1253002,PFHpA,2022,1.6
MA1253002,Total PFAS,2022,9.1
MA1255000,PFHxA,2021,0.5
MA1255000,PFHpA,2021,0.4
MA1255000,Total PFAS,2021,0.9
MA1256000,PFBS,2021-2022,0.5
MA1256000,Total PFAS,2021-2022,0.5
MA1256002,PFHxA,2022,0.4
MA1256002,PFOS,2022,0.5
MA1256002,PFOA,2022,1.3
MA1256002,PFHpA,2022,0.5
MA1256002,Total PFAS,2022,2.7
MA1260001,PFBS,2021-2022,0.5
MA1260001,PFHxA,2021-2022,1.9
MA1260001,PFOS,2021-2022,1.7
MA1260001,PFOA,2021-2022,1.8
MA1260001,PFHpA,2022,0.9
MA1260001,Total PFAS,2021-2022,6.8
MA1263003,PFBS,2021,4.7
MA1263003,PFHxA,2021,1.8
MA1263003,PFOS,2021,4
MA1263003,PFOA,2021,3.4
MA1263003,PFHpA,2021,1.4
MA1263003,Total PFAS,2021,15
MA1263010,PFOS,2022,3.4
MA1263010,Total PFAS,2022,3.4
MA1267001,PFOS,2021,1.1
MA1267001,Total PFAS,2021,1.1
MA1268003,PFOS,2022,0.7
MA1268003,Total PFAS,2022,0.7
MA1268011,PFHxA,2021,0.5
MA1268011,PFHpA,2021,0.3
MA1268011,Total PFAS,2021,0.8
MA1272002,PFBS,2021-2022,0.6
MA1272002,PFHxS,2022,0.5
MA1272002,Total PFAS,2021-2022,0.9
MA1276000,PFBS,2022,0.6
MA1276000,PFHxS,2020-2022,0.6
MA1276000,PFOS,2022,0.5
MA1276000,Total PFAS,2020-2022,1.5
MA1279000,PFBS,2021-2022,1.3
MA1279000,PFHxS,2021-2022,1.4
MA1279000,PFHxA,2021-2022,1.8
MA1279000,PFOS,2021-2022,2.1
MA1279000,PFOA,2021-2022,2.8
MA1279000,PFHpA,2021-2022,1.1
MA1279000,Total PFAS,2021-2022,10
MA1281000,PFHxA,2021,0.5
MA1281000,PFOA,2021,0.7
MA1281000,PFHpA,2021,0.6
MA1281000,Total PFAS,2021,1.8
MA1283003,PFHxS,2021-2022,0.7
MA1283003,PFHxA,2021-2022,1.7
MA1283003,PFOS,2021-2022,1.2
MA1283003,PFOA,2021-2022,2.5
MA1283003,PFHpA,2021-2022,1.5
MA1283003,Total PFAS,2021-2022,7.2
MA1283012,PFBS,2021,0.9
MA1283012,PFHxS,2021,1
MA1283012,PFHxA,2021,3.1
MA1283012,PFOS,2021,3.1
MA1283012,PFOA,2021,3
MA1283012,PFHpA,2021,1.1
MA1283012,Total PFAS,2021,12
MA1283013,PFHpA,2021,0.5
MA1283013,Total PFAS,2021,0.5
MA1283015,PFBS,2020-2022,0.6
MA1283015,PFHxS,2020-2022,0.7
MA1283015,PFHxA,2020-2022,2.6
MA1283015,PFOS,2020-2022,2
MA1283015,PFOA,2020-2022,2.3
MA1283015,PFHpA,2020-2022,0.8
MA1283015,Total PFAS,2020-2022,9
MA1283017,PFBS,2021-2022,3.4
MA1283017,PFHxS,2021-2022,0.8
MA1283017,PFHxA,2021-2022,1
MA1283017,PFOS,2021-2022,2.5
MA1283017,PFOA,2021-2022,3
MA1283017,PFHpA,2021-2022,0.8
MA1283017,Total PFAS,2021-2022,11
MA1289000,PFOS,2021-2022,1.1
MA1289000,PFOA,2021-2022,3.2
MA1289000,Total PFAS,2021-2022,3.2
MA1289002,PFBS,2021,0.6
MA1289002,PFHxA,2021,0.4
MA1289002,PFOS,2021-2022,1
MA1289002,PFOA,2021-2022,1.1
MA1289002,PFHpA,2021,0.4
MA1289002,Total PFAS,2021-2022,3.2
MA1306004,PFHxS,2021-2022,1
MA1306004,PFHxA,2022,1
MA1306004,PFOS,2021-2022,1.1
MA1306004,PFOA,2021-2022,1.4
MA1306004,Total PFAS,2021-2022,4.4
MA1306006,HFPO-DA,2021,1.7
MA1306006,Total PFAS,2021,1.7
MA1309001,PFBS,2021-2022,1.9
MA1309001,PFOA,2021-2022,0.8
MA1309001,Total PFAS,2021-2022,2.4
MA1311000,PFHxS,2021,1.6
MA1311000,PFHxA,2021-2022,2.1
MA1311000,PFOA,2021-2022,2.4
MA1311000,PFHpA,2021,1.3
MA1311000,Total PFAS,2021-2022,6.4
MA1311001,PFBS,2021-2022,1.2
MA1311001,PFOS,2022,0.4
MA1311001,PFOA,2021-2022,0.7
MA1311001,Total PFAS,2021-2022,3.1
